TransactionAmount,RecipientCommitteeParty,DonorCity,DonorState,DonorZipCode,ID,
,,,,,,
1500,Other,ARECIBO,PR,612,72011,
250,Other,ARECIBO,PR,612,72011,
500,Other,CAMUY,PR,627,72011,
1250,Other,CAMUY,PR,627,72011,
500,Republican,SABANA GRANDE,PR,637,72011,
5000,Republican,DORADO,PR,646,72011,
-2500,Republican,DORADO,PR,646,72011,
2500,Republican,DORADO,PR,646,72011,
2700,Republican,DORADO,PR,646,72011,
2300,Republican,DORADO,PR,646,72011,
2700,Republican,DORADO,PR,646,72011,
2300,Republican,DORADO,PR,646,72011,
250,Other,GUAYNABO,PR,657,72011,
1000,Democratic,CULEBRA,PR,775,72089,
1497,Democratic,CULEBRA,PR,775,72089,
2000,Republican,HUMACAO,PR,791,72089,
2500,Democratic,ST. THOMAS,VI,801,72089,
2600,Republican,ST THOMAS,VI,801,72089,
1000,Democratic,ST THOMAS,VI,802,72089,
2700,Democratic,ST THOMAS,VI,802,72089,
2700,Democratic,ST THOMAS,VI,802,72089,
500,Democratic,ST THOMAS,VI,802,72089,
2700,Democratic,ST THOMAS,VI,802,72089,
250,Democratic,ST THOMAS,VI,802,72089,
1000,Democratic,ST THOMAS,VI,802,72089,
1000,Democratic,ST THOMAS,VI,802,72089,
2500,Democratic,ST THOMAS,VI,802,72089,
1200,Democratic,ST THOMAS,VI,802,72089,
1400,Republican,ST THOMAS,VI,802,72089,
2600,Republican,ST THOMAS,VI,802,72089,
1000,Republican,ST THOMAS,VI,802,72089,
2600,Republican,ST THOMAS,VI,802,72089,
1000,Republican,ST THOMAS,VI,802,72089,
2700,Republican,ST THOMAS,VI,802,72089,
900,Republican,ST THOMAS,VI,802,72089,
1000,Republican,ST THOMAS,VI,802,72089,
500,Republican,ST THOMAS,VI,802,72089,
2500,Democratic,CHARLOTTE AMALIE,VI,803,72089,
270,Democratic,ST THOMAS,VI,804,72089,
1000,Democratic,ST THOMAS,VI,804,72089,
500,Democratic,ST THOMAS,VI,804,72089,
1000,Democratic,ST THOMAS,VT,804,72089,
1000,Democratic,ST THOMAS,VI,804,72089,
200,Democratic,ST THOMAS,VI,804,72089,
2600,Republican,ST THOMAS,VI,804,72089,
2000,Republican,ST THOMAS,VI,804,72089,
250,Republican,ST THOMAS,VI,804,72089,
1989,Democratic,CHRISTIANSTED,VI,820,72089,
1000,Democratic,ST CROIX,VI,820,72089,
1000,Democratic,CHRISTIANSTED,VI,820,72089,
2600,Republican,CHRISTIANSTED,VI,820,72089,
1000,Republican,CHRISTIANSTED,VI,820,72089,
2600,Republican,CHRISTIANSTED,VI,820,72089,
2600,Republican,CHRISTIANSTED,VI,820,72089,
2600,Republican,CHRISTIANSTED,VI,821,72089,
1000,Democratic,CHRISTIANSTED,VI,822,72089,
1000,Democratic,CHRISTIANSTED,VI,824,72089,
2000,Democratic,CHRISTIANSTED,VI,824,72089,
1000,Democratic,CHRISTIANSTED,VI,824,72089,
1000,Democratic,CHRISTIANSTED,VI,824,72089,
2000,Democratic,CHRISTIANSTED,VI,824,72089,
1300,Democratic,CHRISTIANSTED,VI,824,72089,
1300,Democratic,CHRISTIANSTED,VI,824,72089,
500,Democratic,ST. CROIX,VI,824,72089,
1300,Democratic,CHRISTIANSTED,VI,824,72089,
3000,Democratic,CHRISTIANSTED,VI,824,72089,
2600,Republican,CHRISTIANSTED,VI,824,72089,
2700,Republican,SCOTTSDALE,AZ,824,72089,
10800,Republican,SCOTTSDALE,AZ,824,72089,
5400,Republican,SCOTTSDALE,AZ,824,72089,
-2700,Republican,SCOTTSDALE,AZ,824,72089,
2700,Republican,SCOTTSDALE,AZ,824,72089,
-2700,Republican,SCOTTSDALE,AZ,824,72089,
2700,Republican,SCOTTSDALE,AZ,824,72089,
500,,ST JOHN,VI,830,72089,
1000,Democratic,ST JOHN,VI,830,72089,
1500,Democratic,ST JOHN,VI,830,72089,
500,Democratic,ST JOHN,VI,830,72089,
250,Democratic,ST JOHN,VI,831,72089,
2000,Democratic,ST JOHN,VI,831,72089,
500,,FREDERIKSTED,VA,850,72089,
2500,Democratic,KINGSHILL,VI,850,72089,
2500,Democratic,KINGSHILL,VI,850,72089,
2600,Republican,KINGSHILL,VI,850,72089,
500,Republican,SAN JUAN,PR,901,72089,
2500,Republican,SAN JUAN,PR,901,72089,
5400,Republican,SAN JUAN,PR,901,72089,
-2700,Republican,SAN JUAN,PR,901,72089,
2700,Republican,SAN JUAN,PR,901,72089,
500,Democratic,SAN JUAN,PR,901,72089,
500,Democratic,SAN JUAN,PR,902,72127,X
1500,Other,SAN JUAN,PR,902,72127,
1000,Other,SAN JUAN,PR,902,72127,
2500,Other,SAN JUAN,PR,907,72127,
250,Other,SAN JUAN,PR,907,72127,
500,Republican,SAN JUAN,PR,907,72127,
500,Other,SAN JUAN,PR,907,72127,
500,Republican,SAN JUAN,PR,910,72127,
500,Republican,SAN JUAN,PR,911,72127,
